style,PENSVM-A
style1,0.05
style2,0.08399999999999999
style3,0.11599999999999999
style4,0.08399999999999999
style5,0.10200000000000001
style6,0.1
style7,0.0875
style8,0.057499999999999996
style9,0.11249999999999999
